date,headline,sub-headline
1/1/18,"Partisans, Wielding Money, Begin Seeking to Exploit Harassment Claims","The earthquake of sexual misconduct allegations has taken down powerful men without regard to politics, but as it shakes Washington, accusations are taking on a partisan tint."
1/1/18,"Even in Poland, Workers’ Wages Flow to North Korea","Defying Washington, a NATO ally hosts North Korean laborers, showing how difficult it is to sever the nuclear pariah state from the global economy."
1/1/18,"At Veterans Hospital in Oregon, a Push for Better Ratings Puts Patients at Risk, Doctors Say","At Roseburg Veterans Affairs Medical Center, doctors and nurses said, hospital administrators reject high-risk patients in pursuit of a higher score."
1/1/18,Democrats in High-Tax States Plot to Blunt Impact of New Tax Law,"State officials are considering legal challenges, looking at other sources of revenue and considering ways to, in effect, restore deductions that the overhaul scaled back."
1/2/18,Kim Jong-un’s Overture Could Drive a Wedge Between South Korea and the U.S.,North Korea’s surprising call for dialogue with the South may undercut the Trump administration’s tough approach.
1/2/18,"The Trump Effect: Business, Anticipating Less Regulation, Loosens Purse Strings",The administration’s campaign to reduce regulation has improved the mood of business executives. They may be spending more money as a result.
1/2/18,Deadly Iran Protests Prompt Warning of Harsher Response,"The rallies are the biggest in years, and are breaking out in areas once reliably loyal to the government."
1/2/18,Emboldened Israeli Right Presses Moves to Doom 2-State Solution,"After President Trump’s recognition of Jerusalem as Israel’s capital, Prime Minister Benjamin Netanyahu’s party has seized momentum to strengthen Israel’s rule of the West Bank."
1/3/18,"Hard-Liners and Reformers Tapped Iranians’ Ire. Now, Both Are Protest Targets.",The demonstrations that have spread to dozens of Iranian cities were set off by miscalculations in a long-simmering internal power struggle.
1/3/18,"Trump Reiterates Support for Iranian Protesters, but Also Criticizes Obama","Unlike President Barack Obama, who was faulted for his response to the protests that became known as the Green Movement, President Trump has come down on the side of the demonstrators"
1/3/18,"Orrin Hatch, Utah Senator, to Retire, Opening Path for Mitt Romney","Mr. Hatch, the longest-serving Senate Republican, announced that he would retire at the end of the year, clearing a path for Mitt Romney to run."
1/3/18,Democrats Outline Demands as Threat of Shutdown Looms,"Democrats are pushing for funding for children’s health care and protection for young undocumented immigrants, among other priorities."
1/4/18,Obstruction Inquiry Shows Trump’s Struggle to Keep Grip on Russia Investigation,The special counsel’s investigation has uncovered several episodes involving the president that raise questions about whether he obstructed justice.
1/4/18,Trump Moves to Open Nearly All Offshore Waters to Drilling,"The proposal would give the energy industry access to more than a billion acres, dealing a blow to President Barack Obama’s environmental legacy."
1/4/18,Trump Administration Takes Step That Could Threaten Marijuana Legalization Movement,"Federal prosecutors will be given discretion to more aggressively enforce marijuana laws, threatening to undermine the legalization movement at the state level."
1/4/18,"Winter Storm Pounds Northeast With Wind, Snow and Flooding","Airports shut down, schools closed and cars slid off roads during winter’s first major storm. Officials fear the worst is ahead as bone-chilling cold moves in."
1/5/18,Obstruction Inquiry Shows Trump’s Struggle to Keep Grip on Russia Investigation,The special counsel’s investigation has uncovered several episodes involving the president that raise questions about whether he obstructed justice.
1/5/18,Trump Moves to Open Nearly All Offshore Waters to Drilling,"The proposal would give the energy industry access to more than a billion acres, dealing a blow to President Barack Obama’s environmental legacy."
